challenge_id,phase_1_status,phase_1_completed_at,phase_2_status,phase_2_completed_at,funded_at,failed_reason,days_to_fail_or_pass
CH000001,passed,2025-02-09,failed,2025-02-24,,rule_violation,33
CH000002,passed,2025-01-25,passed,2025-02-04,2025-02-07,,19
CH000003,failed,2025-01-28,not_reached,,,max_drawdown,7
CH000004,failed,2025-02-21,not_reached,,,max_drawdown,9
CH000005,passed,2025-01-27,failed,2025-02-04,,inactivity,16
CH000006,passed,2025-02-21,passed,2025-03-08,2025-03-11,,35
CH000007,failed,2025-01-21,not_reached,,,daily_loss_limit,5
CH000008,passed,2025-02-04,failed,2025-02-08,,inactivity,9
CH000009,passed,2025-01-25,failed,2025-02-02,,consistency_rule,16
CH000010,failed,2025-02-07,not_reached,,,consistency_rule,21
CH000011,failed,2025-02-17,not_reached,,,rule_violation,16
CH000012,passed,2025-02-22,failed,2025-03-06,,consistency_rule,34
CH000013,passed,2025-04-09,failed,2025-04-17,,max_drawdown,23
CH000014,failed,2025-01-22,not_reached,,,inactivity,9
CH000015,failed,2025-02-18,not_reached,,,inactivity,16
CH000016,passed,2025-02-07,failed,2025-02-16,,consistency_rule,22
CH000017,passed,2025-02-08,failed,2025-02-25,,consistency_rule,33
CH000018,passed,2025-02-08,failed,2025-02-18,,max_drawdown,22
CH000019,passed,2025-03-16,passed,2025-03-24,2025-03-26,,14
CH000020,failed,2025-02-13,not_reached,,,daily_loss_limit,18
CH000021,failed,2025-02-03,not_reached,,,max_drawdown,7
CH000022,passed,2025-02-16,failed,2025-03-03,,max_drawdown,34
CH000023,failed,2025-02-03,not_reached,,,inactivity,6
CH000024,failed,2025-02-21,not_reached,,,max_drawdown,6
CH000025,failed,2025-02-25,not_reached,,,inactivity,22
CH000026,failed,2025-01-25,not_reached,,,daily_loss_limit,10
CH000027,failed,2025-01-26,not_reached,,,inactivity,5
CH000028,failed,2025-01-25,not_reached,,,inactivity,12
CH000029,passed,2025-02-09,failed,2025-02-18,,inactivity,17
CH000030,failed,2025-02-14,not_reached,,,consistency_rule,10
CH000031,passed,2025-02-20,passed,2025-03-03,2025-03-06,,26
CH000032,passed,2025-02-04,passed,2025-02-22,2025-02-23,,35
CH000033,failed,2025-02-18,not_reached,,,max_drawdown,17
CH000034,failed,2025-03-22,not_reached,,,max_drawdown,12
CH000035,failed,2025-01-21,not_reached,,,daily_loss_limit,4
CH000036,failed,2025-02-11,not_reached,,,inactivity,15
CH000037,failed,2025-03-06,not_reached,,,consistency_rule,4
CH000038,failed,2025-01-31,not_reached,,,max_drawdown,13
CH000039,passed,2025-01-31,failed,2025-02-04,,inactivity,7
CH000040,passed,2025-01-31,failed,2025-02-09,,consistency_rule,20
CH000041,passed,2025-02-05,passed,2025-02-09,2025-02-10,,14
CH000042,failed,2025-02-17,not_reached,,,max_drawdown,18
CH000043,passed,2025-02-05,failed,2025-02-21,,max_drawdown,33
CH000044,passed,2025-01-31,passed,2025-02-09,2025-02-10,,19
CH000045,passed,2025-02-10,failed,2025-03-03,,rule_violation,42
CH000046,passed,2025-04-02,passed,2025-04-17,2025-04-19,,36
CH000047,passed,2025-02-17,passed,2025-03-03,2025-03-06,,33
CH000048,failed,2025-02-12,not_reached,,,inactivity,15
CH000049,passed,2025-03-23,failed,2025-04-02,,consistency_rule,20
CH000050,failed,2025-04-24,not_reached,,,daily_loss_limit,11
CH000051,failed,2025-02-01,not_reached,,,daily_loss_limit,12
CH000052,failed,2025-02-08,not_reached,,,daily_loss_limit,16
CH000053,failed,2025-03-12,not_reached,,,max_drawdown,9
CH000054,failed,2025-03-02,not_reached,,,rule_violation,26
CH000055,passed,2025-02-13,passed,2025-02-22,2025-02-23,,28
CH000056,failed,2025-02-11,not_reached,,,daily_loss_limit,12
CH000057,passed,2025-03-25,failed,2025-04-03,,consistency_rule,26
CH000058,failed,2025-02-14,not_reached,,,consistency_rule,14
CH000059,failed,2025-03-05,not_reached,,,max_drawdown,26
CH000060,passed,2025-02-11,passed,2025-02-27,2025-03-01,,24
CH000061,failed,2025-02-10,not_reached,,,inactivity,5
CH000062,failed,2025-02-14,not_reached,,,daily_loss_limit,12
CH000063,failed,2025-01-29,not_reached,,,max_drawdown,7
CH000064,failed,2025-02-28,not_reached,,,daily_loss_limit,20
CH000065,passed,2025-02-15,passed,2025-02-26,2025-03-01,,35
CH000066,failed,2025-02-18,not_reached,,,daily_loss_limit,12
CH000067,failed,2025-02-15,not_reached,,,daily_loss_limit,15
CH000068,failed,2025-02-23,not_reached,,,inactivity,19
CH000069,failed,2025-02-10,not_reached,,,rule_violation,11
CH000070,passed,2025-02-13,failed,2025-02-26,,inactivity,33
CH000071,failed,2025-02-21,not_reached,,,daily_loss_limit,14
CH000072,failed,2025-02-15,not_reached,,,inactivity,24
CH000073,passed,2025-01-27,failed,2025-01-31,,daily_loss_limit,15
CH000074,failed,2025-01-30,not_reached,,,max_drawdown,5
CH000075,failed,2025-02-11,not_reached,,,inactivity,13
CH000076,passed,2025-02-08,failed,2025-02-14,,consistency_rule,14
CH000077,passed,2025-01-31,passed,2025-02-05,2025-02-06,,16
CH000078,failed,2025-02-27,not_reached,,,max_drawdown,10
CH000079,passed,2025-02-18,failed,2025-02-22,,consistency_rule,17
CH000080,failed,2025-02-06,not_reached,,,daily_loss_limit,20
CH000081,passed,2025-03-22,failed,2025-04-06,,consistency_rule,28
CH000082,failed,2025-02-05,not_reached,,,inactivity,9
CH000083,passed,2025-02-03,passed,2025-02-09,2025-02-12,,18
CH000084,passed,2025-02-16,passed,2025-02-24,2025-02-26,,24
CH000085,failed,2025-02-06,not_reached,,,consistency_rule,7
CH000086,failed,2025-02-11,not_reached,,,max_drawdown,15
CH000087,passed,2025-02-18,passed,2025-03-09,2025-03-10,,29
CH000088,failed,2025-02-05,not_reached,,,rule_violation,10
CH000089,passed,2025-01-28,passed,2025-02-11,2025-02-13,,24
CH000090,failed,2025-02-06,not_reached,,,max_drawdown,3
CH000091,passed,2025-02-14,failed,2025-02-18,,max_drawdown,15
CH000092,failed,2025-02-16,not_reached,,,max_drawdown,14
CH000093,failed,2025-02-09,not_reached,,,max_drawdown,13
CH000094,passed,2025-02-26,passed,2025-03-04,2025-03-07,,18
CH000095,passed,2025-02-23,failed,2025-03-11,,inactivity,31
CH000096,failed,2025-02-07,not_reached,,,max_drawdown,9
CH000097,failed,2025-02-01,not_reached,,,daily_loss_limit,8
CH000098,failed,2025-02-22,not_reached,,,daily_loss_limit,18
CH000099,passed,2025-04-03,failed,2025-04-10,,consistency_rule,22
CH000100,failed,2025-01-23,not_reached,,,rule_violation,3
CH000101,failed,2025-02-08,not_reached,,,daily_loss_limit,12
CH000102,failed,2025-01-31,not_reached,,,rule_violation,10
CH000103,failed,2025-02-13,not_reached,,,daily_loss_limit,20
CH000104,passed,2025-03-04,passed,2025-03-16,2025-03-17,,37
CH000105,failed,2025-02-17,not_reached,,,max_drawdown,11
CH000106,failed,2025-02-17,not_reached,,,consistency_rule,16
CH000107,passed,2025-02-21,passed,2025-02-25,2025-02-26,,16
CH000108,failed,2025-02-15,not_reached,,,max_drawdown,19
CH000109,passed,2025-02-19,failed,2025-03-01,,max_drawdown,18
CH000110,failed,2025-01-28,not_reached,,,max_drawdown,10
CH000111,failed,2025-02-15,not_reached,,,rule_violation,7
CH000112,failed,2025-02-09,not_reached,,,inactivity,17
CH000113,failed,2025-02-16,not_reached,,,rule_violation,13
CH000114,failed,2025-02-20,not_reached,,,rule_violation,12
CH000115,failed,2025-04-02,not_reached,,,max_drawdown,20
CH000116,passed,2025-04-27,passed,2025-05-02,2025-05-04,,17
CH000117,passed,2025-01-30,failed,2025-02-04,,max_drawdown,11
CH000118,passed,2025-03-10,passed,2025-03-21,2025-03-22,,20
CH000119,failed,2025-02-08,not_reached,,,max_drawdown,7
CH000120,passed,2025-02-11,failed,2025-02-19,,rule_violation,13
CH000121,passed,2025-02-07,passed,2025-02-19,2025-02-21,,25
CH000122,failed,2025-02-21,not_reached,,,inactivity,7
CH000123,failed,2025-02-11,not_reached,,,consistency_rule,13
CH000124,passed,2025-03-03,failed,2025-03-14,,inactivity,31
CH000125,passed,2025-02-25,passed,2025-03-09,2025-03-12,,29
CH000126,failed,2025-02-24,not_reached,,,inactivity,11
CH000127,failed,2025-03-15,not_reached,,,consistency_rule,4
CH000128,failed,2025-04-13,not_reached,,,max_drawdown,11
CH000129,failed,2025-03-01,not_reached,,,max_drawdown,14
CH000130,failed,2025-04-08,not_reached,,,rule_violation,7
CH000131,failed,2025-02-22,not_reached,,,inactivity,11
CH000132,failed,2025-02-05,not_reached,,,inactivity,12
CH000133,failed,2025-02-01,not_reached,,,consistency_rule,7
CH000134,passed,2025-02-23,passed,2025-02-27,2025-03-01,,16
CH000135,passed,2025-02-06,passed,2025-02-23,2025-02-25,,26
CH000136,passed,2025-04-03,passed,2025-04-14,2025-04-17,,29
CH000137,passed,2025-03-01,passed,2025-03-08,2025-03-10,,25
CH000138,failed,2025-02-14,not_reached,,,daily_loss_limit,8
CH000139,failed,2025-02-15,not_reached,,,max_drawdown,6
CH000140,passed,2025-02-06,failed,2025-02-15,,inactivity,18
CH000141,passed,2025-02-11,passed,2025-02-23,2025-02-24,,23
CH000142,failed,2025-02-21,not_reached,,,inactivity,10
CH000143,passed,2025-03-01,failed,2025-03-13,,rule_violation,22
CH000144,passed,2025-03-02,failed,2025-03-08,,consistency_rule,19
CH000145,failed,2025-04-07,not_reached,,,inactivity,13
CH000146,passed,2025-02-24,failed,2025-03-04,,max_drawdown,17
CH000147,failed,2025-02-07,not_reached,,,inactivity,5
CH000148,failed,2025-02-14,not_reached,,,inactivity,13
