challenge_id,user_id,purchase_date,challenge_type,price_usd,account_size,promo_code_used
CH000014,USR000106,2025-01-13,low_cost_trial,59.0,25000,
CH000028,USR000182,2025-01-13,low_cost_trial,39.0,10000,
CH000026,USR000159,2025-01-15,low_cost_trial,39.0,10000,
CH000002,USR000024,2025-01-16,swing,549.0,100000,
CH000007,USR000062,2025-01-16,aggressive,319.0,50000,
CH000073,USR000462,2025-01-16,aggressive,179.0,25000,
CH000009,USR000070,2025-01-17,standard,149.0,25000,
CH000010,USR000076,2025-01-17,swing,549.0,100000,
CH000035,USR000219,2025-01-17,low_cost_trial,39.0,10000,WELCOME10
CH000080,USR000503,2025-01-17,swing,549.0,100000,
CH000032,USR000209,2025-01-18,swing,549.0,100000,
CH000038,USR000228,2025-01-18,standard,499.0,100000,
CH000089,USR000555,2025-01-18,standard,499.0,100000,SPRING15
CH000110,USR000718,2025-01-18,low_cost_trial,39.0,10000,WELCOME10
CH000005,USR000036,2025-01-19,low_cost_trial,59.0,25000,SPRING15
CH000043,USR000257,2025-01-19,standard,279.0,50000,
CH000040,USR000243,2025-01-20,aggressive,319.0,50000,SPRING15
CH000045,USR000275,2025-01-20,swing,549.0,100000,
CH000051,USR000297,2025-01-20,standard,149.0,25000,COMMUNITY5
CH000077,USR000490,2025-01-20,standard,149.0,25000,
CH000100,USR000627,2025-01-20,low_cost_trial,39.0,10000,COMMUNITY5
CH000003,USR000028,2025-01-21,low_cost_trial,39.0,10000,COMMUNITY5
CH000027,USR000180,2025-01-21,standard,279.0,50000,WELCOME10
CH000044,USR000270,2025-01-21,standard,149.0,25000,
CH000102,USR000642,2025-01-21,low_cost_trial,39.0,10000,
CH000001,USR000017,2025-01-22,swing,299.0,50000,
CH000063,USR000363,2025-01-22,standard,279.0,50000,
CH000065,USR000409,2025-01-22,swing,549.0,100000,
CH000072,USR000459,2025-01-22,swing,299.0,50000,
CH000083,USR000510,2025-01-22,aggressive,179.0,25000,
CH000017,USR000132,2025-01-23,swing,799.0,150000,
CH000052,USR000311,2025-01-23,standard,149.0,25000,
CH000112,USR000759,2025-01-23,low_cost_trial,39.0,10000,AFFPARTNER
CH000153,USR000947,2025-01-23,aggressive,569.0,100000,
CH000070,USR000438,2025-01-24,swing,799.0,150000,
CH000097,USR000621,2025-01-24,standard,149.0,25000,
CH000103,USR000650,2025-01-24,standard,279.0,50000,
CH000117,USR000771,2025-01-24,aggressive,319.0,50000,
CH000132,USR000828,2025-01-24,low_cost_trial,59.0,25000,
CH000016,USR000110,2025-01-25,standard,279.0,50000,
CH000055,USR000320,2025-01-25,standard,279.0,50000,
CH000074,USR000465,2025-01-25,aggressive,569.0,100000,
CH000121,USR000792,2025-01-25,aggressive,179.0,25000,AFFPARTNER
CH000133,USR000838,2025-01-25,aggressive,319.0,50000,FLASH20
CH000020,USR000143,2025-01-26,low_cost_trial,39.0,10000,
CH000041,USR000249,2025-01-26,standard,149.0,25000,
CH000088,USR000546,2025-01-26,aggressive,569.0,100000,
CH000171,USR001063,2025-01-26,low_cost_trial,59.0,25000,WELCOME10
CH000018,USR000134,2025-01-27,aggressive,319.0,50000,
CH000021,USR000144,2025-01-27,standard,499.0,100000,AFFPARTNER
CH000036,USR000225,2025-01-27,standard,279.0,50000,AFFPARTNER
CH000082,USR000504,2025-01-27,low_cost_trial,39.0,10000,
CH000086,USR000533,2025-01-27,aggressive,319.0,50000,
CH000093,USR000592,2025-01-27,low_cost_trial,39.0,10000,
CH000101,USR000632,2025-01-27,aggressive,319.0,50000,
CH000108,USR000706,2025-01-27,swing,549.0,100000,
CH000022,USR000152,2025-01-28,aggressive,179.0,25000,AFFPARTNER
CH000023,USR000156,2025-01-28,low_cost_trial,39.0,10000,
CH000039,USR000229,2025-01-28,standard,149.0,25000,
CH000048,USR000292,2025-01-28,swing,299.0,50000,
CH000135,USR000848,2025-01-28,aggressive,179.0,25000,
CH000140,USR000865,2025-01-28,low_cost_trial,39.0,10000,
CH000164,USR001049,2025-01-28,swing,799.0,150000,WELCOME10
CH000047,USR000283,2025-01-29,swing,299.0,50000,
CH000075,USR000482,2025-01-29,low_cost_trial,39.0,10000,
CH000096,USR000619,2025-01-29,low_cost_trial,39.0,10000,AFFPARTNER
CH000123,USR000795,2025-01-29,aggressive,179.0,25000,WELCOME10
CH000190,USR001155,2025-01-29,swing,799.0,150000,
CH000008,USR000065,2025-01-30,standard,149.0,25000,
CH000042,USR000256,2025-01-30,standard,499.0,100000,
CH000056,USR000322,2025-01-30,low_cost_trial,59.0,25000,AFFPARTNER
CH000069,USR000435,2025-01-30,low_cost_trial,39.0,10000,
CH000085,USR000520,2025-01-30,standard,149.0,25000,AFFPARTNER
CH000188,USR001150,2025-01-30,standard,149.0,25000,
CH000012,USR000087,2025-01-31,swing,549.0,100000,
CH000058,USR000334,2025-01-31,standard,499.0,100000,
CH000067,USR000424,2025-01-31,low_cost_trial,59.0,25000,SPRING15
CH000076,USR000489,2025-01-31,low_cost_trial,59.0,25000,AFFPARTNER
CH000084,USR000517,2025-01-31,swing,299.0,50000,
CH000141,USR000872,2025-01-31,standard,499.0,100000,
CH000172,USR001070,2025-01-31,aggressive,179.0,25000,
CH000176,USR001088,2025-01-31,swing,549.0,100000,
CH000006,USR000044,2025-02-01,swing,799.0,150000,
CH000011,USR000077,2025-02-01,standard,279.0,50000,FLASH20
CH000029,USR000187,2025-02-01,standard,499.0,100000,
CH000033,USR000210,2025-02-01,standard,149.0,25000,AFFPARTNER
CH000106,USR000688,2025-02-01,standard,279.0,50000,
CH000119,USR000779,2025-02-01,standard,279.0,50000,SPRING15
CH000148,USR000939,2025-02-01,low_cost_trial,39.0,10000,WELCOME10
CH000163,USR001047,2025-02-01,low_cost_trial,39.0,10000,
CH000167,USR001060,2025-02-01,aggressive,569.0,100000,
CH000223,USR001374,2025-02-01,aggressive,569.0,100000,
CH000015,USR000106,2025-02-02,aggressive,569.0,100000,WELCOME10
CH000062,USR000356,2025-02-02,aggressive,179.0,25000,
CH000092,USR000591,2025-02-02,swing,799.0,150000,
CH000147,USR000922,2025-02-02,low_cost_trial,39.0,10000,
CH000154,USR000949,2025-02-02,standard,499.0,100000,SPRING15
CH000160,USR001026,2025-02-02,standard,149.0,25000,
CH000177,USR001095,2025-02-02,standard,279.0,50000,SPRING15
CH000025,USR000158,2025-02-03,aggressive,569.0,100000,
CH000060,USR000338,2025-02-03,standard,279.0,50000,
CH000090,USR000573,2025-02-03,low_cost_trial,59.0,25000,
CH000091,USR000582,2025-02-03,aggressive,319.0,50000,WELCOME10
CH000113,USR000760,2025-02-03,low_cost_trial,59.0,25000,COMMUNITY5
CH000162,USR001043,2025-02-03,standard,279.0,50000,SPRING15
CH000193,USR001171,2025-02-03,standard,149.0,25000,WELCOME10
CH000251,USR001498,2025-02-03,swing,549.0,100000,
CH000253,USR001499,2025-02-03,aggressive,569.0,100000,
CH000030,USR000195,2025-02-04,standard,149.0,25000,WELCOME10
CH000054,USR000315,2025-02-04,swing,799.0,150000,FLASH20
CH000068,USR000427,2025-02-04,low_cost_trial,39.0,10000,FLASH20
CH000098,USR000625,2025-02-04,swing,549.0,100000,
CH000155,USR000964,2025-02-04,standard,499.0,100000,
CH000201,USR001218,2025-02-04,standard,279.0,50000,
CH000207,USR001240,2025-02-04,low_cost_trial,59.0,25000,
CH000232,USR001407,2025-02-04,low_cost_trial,39.0,10000,
CH000260,USR001542,2025-02-04,swing,799.0,150000,
CH000031,USR000199,2025-02-05,standard,499.0,100000,
CH000061,USR000349,2025-02-05,aggressive,179.0,25000,AFFPARTNER
CH000079,USR000493,2025-02-05,standard,279.0,50000,AFFPARTNER
CH000179,USR001105,2025-02-05,swing,299.0,50000,
CH000216,USR001308,2025-02-05,swing,549.0,100000,
CH000231,USR001398,2025-02-05,aggressive,569.0,100000,
CH000246,USR001473,2025-02-05,standard,149.0,25000,COMMUNITY5
CH000296,USR001797,2025-02-05,swing,549.0,100000,
CH000066,USR000423,2025-02-06,aggressive,179.0,25000,
CH000105,USR000667,2025-02-06,aggressive,179.0,25000,
CH000120,USR000785,2025-02-06,low_cost_trial,39.0,10000,
CH000138,USR000862,2025-02-06,aggressive,569.0,100000,
CH000220,USR001337,2025-02-06,aggressive,569.0,100000,AFFPARTNER
CH000059,USR000336,2025-02-07,swing,799.0,150000,AFFPARTNER
CH000071,USR000443,2025-02-07,low_cost_trial,39.0,10000,
CH000104,USR000665,2025-02-07,swing,299.0,50000,
CH000261,USR001543,2025-02-07,swing,549.0,100000,
CH000271,USR001599,2025-02-07,low_cost_trial,39.0,10000,AFFPARTNER
CH000289,USR001758,2025-02-07,standard,149.0,25000,FLASH20
CH000064,USR000384,2025-02-08,swing,299.0,50000,
CH000087,USR000539,2025-02-08,swing,799.0,150000,
CH000095,USR000618,2025-02-08,swing,799.0,150000,
CH000111,USR000739,2025-02-08,aggressive,179.0,25000,FLASH20
CH000114,USR000763,2025-02-08,aggressive,569.0,100000,
CH000125,USR000811,2025-02-08,swing,799.0,150000,SPRING15
CH000157,USR001012,2025-02-08,low_cost_trial,39.0,10000,
CH000166,USR001052,2025-02-08,swing,299.0,50000,AFFPARTNER
CH000191,USR001164,2025-02-08,low_cost_trial,39.0,10000,
CH000107,USR000701,2025-02-09,standard,279.0,50000,
CH000139,USR000863,2025-02-09,low_cost_trial,39.0,10000,WELCOME10
CH000161,USR001039,2025-02-09,aggressive,319.0,50000,FLASH20
CH000169,USR001061,2025-02-09,standard,149.0,25000,
CH000185,USR001130,2025-02-09,low_cost_trial,39.0,10000,FLASH20
CH000195,USR001193,2025-02-09,aggressive,319.0,50000,
CH000196,USR001198,2025-02-09,low_cost_trial,39.0,10000,
CH000233,USR001427,2025-02-09,aggressive,569.0,100000,
CH000204,USR001221,2025-02-10,aggressive,569.0,100000,
CH000229,USR001394,2025-02-10,standard,499.0,100000,
CH000242,USR001445,2025-02-10,swing,799.0,150000,
CH000244,USR001462,2025-02-10,standard,279.0,50000,COMMUNITY5
CH000245,USR001465,2025-02-10,swing,799.0,150000,SPRING15
CH000109,USR000712,2025-02-11,low_cost_trial,39.0,10000,
CH000124,USR000803,2025-02-11,standard,279.0,50000,
CH000131,USR000824,2025-02-11,low_cost_trial,39.0,10000,WELCOME10
CH000134,USR000845,2025-02-11,standard,279.0,50000,
CH000137,USR000849,2025-02-11,swing,799.0,150000,FLASH20
CH000142,USR000890,2025-02-11,low_cost_trial,39.0,10000,
CH000156,USR000987,2025-02-11,standard,149.0,25000,AFFPARTNER
CH000165,USR001050,2025-02-11,swing,299.0,50000,COMMUNITY5
CH000194,USR001192,2025-02-11,standard,279.0,50000,
CH000215,USR001307,2025-02-11,standard,279.0,50000,
CH000266,USR001577,2025-02-11,low_cost_trial,39.0,10000,
CH000270,USR001597,2025-02-11,standard,499.0,100000,
CH000278,USR001654,2025-02-11,aggressive,569.0,100000,
CH000301,USR001838,2025-02-11,standard,499.0,100000,COMMUNITY5
CH000004,USR000028,2025-02-12,aggressive,179.0,25000,
CH000180,USR001109,2025-02-12,aggressive,179.0,25000,
CH000181,USR001115,2025-02-12,swing,299.0,50000,COMMUNITY5
CH000182,USR001123,2025-02-12,standard,279.0,50000,
CH000189,USR001151,2025-02-12,aggressive,179.0,25000,
CH000198,USR001206,2025-02-12,standard,279.0,50000,
CH000258,USR001535,2025-02-12,aggressive,179.0,25000,
CH000302,USR001843,2025-02-12,aggressive,319.0,50000,
CH000324,USR001996,2025-02-12,standard,499.0,100000,SPRING15
CH000126,USR000814,2025-02-13,swing,799.0,150000,
CH000186,USR001145,2025-02-13,standard,279.0,50000,
CH000203,USR001220,2025-02-13,standard,499.0,100000,
CH000205,USR001231,2025-02-13,low_cost_trial,39.0,10000,
CH000211,USR001261,2025-02-13,low_cost_trial,39.0,10000,
CH000212,USR001270,2025-02-13,swing,299.0,50000,SPRING15
CH000213,USR001276,2025-02-13,low_cost_trial,39.0,10000,
CH000222,USR001345,2025-02-13,swing,549.0,100000,
CH000225,USR001376,2025-02-13,low_cost_trial,39.0,10000,
CH000267,USR001588,2025-02-13,aggressive,179.0,25000,
CH000338,USR002047,2025-02-13,standard,499.0,100000,
CH000094,USR000594,2025-02-14,standard,279.0,50000,
CH000122,USR000793,2025-02-14,standard,149.0,25000,
CH000210,USR001252,2025-02-14,low_cost_trial,39.0,10000,
CH000241,USR001442,2025-02-14,standard,149.0,25000,
CH000243,USR001455,2025-02-14,low_cost_trial,39.0,10000,
CH000249,USR001480,2025-02-14,low_cost_trial,39.0,10000,
CH000280,USR001681,2025-02-14,aggressive,179.0,25000,COMMUNITY5
CH000311,USR001911,2025-02-14,swing,799.0,150000,FLASH20
CH000320,USR001960,2025-02-14,aggressive,569.0,100000,AFFPARTNER
CH000024,USR000156,2025-02-15,low_cost_trial,59.0,25000,
CH000129,USR000820,2025-02-15,aggressive,569.0,100000,
CH000146,USR000919,2025-02-15,standard,149.0,25000,WELCOME10
CH000151,USR000946,2025-02-15,standard,499.0,100000,SPRING15
CH000178,USR001100,2025-02-15,swing,549.0,100000,
CH000192,USR001169,2025-02-15,aggressive,319.0,50000,
CH000209,USR001250,2025-02-15,standard,149.0,25000,
CH000214,USR001299,2025-02-15,swing,549.0,100000,
CH000219,USR001325,2025-02-15,swing,549.0,100000,WELCOME10
CH000230,USR001396,2025-02-15,swing,799.0,150000,
CH000282,USR001699,2025-02-15,swing,549.0,100000,AFFPARTNER
CH000309,USR001895,2025-02-15,standard,279.0,50000,
CH000340,USR002056,2025-02-15,aggressive,569.0,100000,
CH000150,USR000944,2025-02-16,low_cost_trial,39.0,10000,
CH000262,USR001544,2025-02-16,low_cost_trial,59.0,25000,
CH000273,USR001617,2025-02-16,low_cost_trial,39.0,10000,
CH000307,USR001867,2025-02-16,aggressive,179.0,25000,
CH000315,USR001930,2025-02-16,aggressive,319.0,50000,
CH000341,USR002061,2025-02-16,standard,499.0,100000,
CH000346,USR002075,2025-02-16,swing,549.0,100000,
CH000078,USR000490,2025-02-17,standard,149.0,25000,AFFPARTNER
CH000144,USR000909,2025-02-17,low_cost_trial,39.0,10000,
CH000187,USR001148,2025-02-17,standard,279.0,50000,
CH000228,USR001385,2025-02-17,aggressive,569.0,100000,AFFPARTNER
CH000276,USR001639,2025-02-17,low_cost_trial,59.0,25000,
CH000279,USR001668,2025-02-17,low_cost_trial,39.0,10000,AFFPARTNER
CH000326,USR002003,2025-02-17,low_cost_trial,39.0,10000,
CH000254,USR001505,2025-02-18,low_cost_trial,59.0,25000,
CH000265,USR001572,2025-02-18,swing,799.0,150000,WELCOME10
CH000143,USR000906,2025-02-19,swing,799.0,150000,
CH000174,USR001079,2025-02-19,standard,279.0,50000,
CH000184,USR001128,2025-02-19,low_cost_trial,39.0,10000,COMMUNITY5
CH000197,USR001198,2025-02-19,standard,149.0,25000,
CH000200,USR001215,2025-02-19,low_cost_trial,39.0,10000,
CH000206,USR001239,2025-02-19,swing,799.0,150000,
CH000221,USR001341,2025-02-19,low_cost_trial,59.0,25000,
CH000227,USR001378,2025-02-19,low_cost_trial,39.0,10000,
CH000240,USR001439,2025-02-19,aggressive,319.0,50000,
CH000268,USR001594,2025-02-19,swing,299.0,50000,AFFPARTNER
CH000272,USR001604,2025-02-19,standard,149.0,25000,
CH000284,USR001709,2025-02-19,low_cost_trial,39.0,10000,
CH000292,USR001777,2025-02-19,low_cost_trial,39.0,10000,FLASH20
CH000323,USR001987,2025-02-19,standard,149.0,25000,
CH000327,USR002006,2025-02-19,low_cost_trial,39.0,10000,
CH000336,USR002026,2025-02-19,swing,299.0,50000,
CH000159,USR001014,2025-02-20,standard,499.0,100000,
CH000175,USR001082,2025-02-20,low_cost_trial,39.0,10000,
CH000217,USR001317,2025-02-20,standard,279.0,50000,SPRING15
CH000218,USR001319,2025-02-20,standard,279.0,50000,
CH000250,USR001495,2025-02-20,swing,299.0,50000,
CH000264,USR001561,2025-02-20,standard,499.0,100000,
CH000297,USR001820,2025-02-20,standard,499.0,100000,
CH000173,USR001071,2025-02-21,low_cost_trial,39.0,10000,
CH000236,USR001431,2025-02-21,standard,279.0,50000,WELCOME10
CH000285,USR001718,2025-02-21,aggressive,319.0,50000,AFFPARTNER
CH000291,USR001763,2025-02-21,standard,499.0,100000,
CH000293,USR001778,2025-02-21,aggressive,179.0,25000,
CH000351,USR002126,2025-02-21,standard,499.0,100000,SPRING15
CH000199,USR001206,2025-02-22,standard,149.0,25000,
CH000286,USR001727,2025-02-22,low_cost_trial,39.0,10000,
CH000300,USR001837,2025-02-22,low_cost_trial,39.0,10000,
CH000316,USR001946,2025-02-22,aggressive,319.0,50000,
CH000322,USR001981,2025-02-22,low_cost_trial,39.0,10000,WELCOME10
CH000331,USR002014,2025-02-22,standard,279.0,50000,WELCOME10
CH000333,USR002015,2025-02-22,low_cost_trial,39.0,10000,
CH000347,USR002076,2025-02-22,swing,299.0,50000,WELCOME10
CH000321,USR001974,2025-02-23,standard,149.0,25000,
CH000337,USR002039,2025-02-23,low_cost_trial,39.0,10000,WELCOME10
CH000237,USR001436,2025-02-24,aggressive,569.0,100000,WELCOME10
CH000255,USR001515,2025-02-24,swing,549.0,100000,COMMUNITY5
CH000281,USR001683,2025-02-24,low_cost_trial,39.0,10000,SPRING15
CH000295,USR001791,2025-02-24,low_cost_trial,39.0,10000,WELCOME10
CH000310,USR001905,2025-02-24,aggressive,569.0,100000,WELCOME10
CH000348,USR002105,2025-02-24,low_cost_trial,59.0,25000,
CH000247,USR001476,2025-02-25,low_cost_trial,39.0,10000,
CH000256,USR001516,2025-02-25,swing,299.0,50000,FLASH20
CH000313,USR001922,2025-02-25,standard,149.0,25000,
