payout_id,challenge_id,user_id,payout_requested_at,payout_amount_usd,payout_status
PO000007,CH000044,USR000270,2025-03-01,439.98,approved
PO000006,CH000032,USR000209,2025-03-05,2196.87,approved
PO000011,CH000083,USR000510,2025-03-05,707.81,approved
PO000012,CH000084,USR000517,2025-03-08,774.13,approved
PO000021,CH000172,USR001070,2025-03-08,718.36,approved
PO000024,CH000191,USR001164,2025-03-08,95.11,approved
PO000010,CH000055,USR000320,2025-03-09,1260.23,approved
PO000031,CH000220,USR001337,2025-03-12,2318.58,approved
PO000027,CH000209,USR001250,2025-03-15,462.37,approved
PO000022,CH000172,USR001070,2025-03-16,606.27,approved
PO000028,CH000210,USR001252,2025-03-19,134.12,under_review
PO000018,CH000159,USR001014,2025-03-24,2434.9,approved
PO000004,CH000031,USR000199,2025-03-25,1549.79,approved
PO000042,CH000310,USR001905,2025-03-25,3027.86,approved
PO000047,CH000338,USR002047,2025-03-25,2248.7,approved
PO000025,CH000195,USR001193,2025-03-26,1467.14,under_review
PO000013,CH000104,USR000665,2025-03-28,746.71,under_review
PO000033,CH000253,USR001499,2025-03-29,1960.18,under_review
PO000035,CH000261,USR001543,2025-03-29,2898.25,approved
PO000001,CH000006,USR000044,2025-03-31,3476.29,approved
PO000008,CH000047,USR000283,2025-03-31,1256.68,approved
PO000032,CH000242,USR001445,2025-03-31,4650.4,approved
PO000017,CH000156,USR000987,2025-04-01,303.36,approved
PO000037,CH000265,USR001572,2025-04-03,3338.81,rejected
PO000036,CH000264,USR001561,2025-04-04,2335.88,approved
PO000046,CH000336,USR002026,2025-04-04,1484.15,under_review
PO000043,CH000323,USR001987,2025-04-06,690.07,approved
PO000003,CH000019,USR000134,2025-04-07,910.35,approved
PO000048,CH000339,USR002055,2025-04-07,148.52,approved
PO000023,CH000181,USR001115,2025-04-08,1271.53,approved
PO000030,CH000219,USR001325,2025-04-08,3491.87,approved
PO000029,CH000212,USR001270,2025-04-09,1140.3,approved
PO000034,CH000253,USR001499,2025-04-09,2041.62,approved
PO000009,CH000047,USR000283,2025-04-10,963.13,approved
PO000057,CH000451,USR002980,2025-04-10,455.15,approved
PO000049,CH000353,USR002169,2025-04-11,969.42,approved
PO000051,CH000380,USR002389,2025-04-11,380.22,approved
PO000056,CH000448,USR002960,2025-04-14,657.58,under_review
PO000002,CH000006,USR000044,2025-04-15,2610.48,rejected
PO000050,CH000366,USR002258,2025-04-15,640.06,approved
PO000041,CH000282,USR001699,2025-04-16,2447.2,approved
PO000015,CH000118,USR000771,2025-04-18,1089.58,approved
PO000044,CH000330,USR002013,2025-04-18,2139.52,approved
PO000052,CH000387,USR002451,2025-04-20,769.56,under_review
PO000038,CH000265,USR001572,2025-04-22,2868.58,under_review
PO000039,CH000269,USR001595,2025-04-23,340.62,approved
PO000005,CH000031,USR000199,2025-04-24,1878.4,approved
PO000045,CH000334,USR002015,2025-04-25,1057.38,approved
PO000026,CH000206,USR001239,2025-04-26,3839.0,approved
PO000019,CH000159,USR001014,2025-05-01,2301.58,approved
PO000065,CH000490,USR003221,2025-05-02,1279.81,approved
PO000068,CH000499,USR003292,2025-05-02,352.56,approved
PO000053,CH000396,USR002575,2025-05-03,3466.98,under_review
PO000075,CH000544,USR003596,2025-05-03,1539.27,approved
PO000055,CH000425,USR002793,2025-05-04,1411.71,approved
PO000062,CH000461,USR003062,2025-05-05,1129.32,approved
PO000020,CH000170,USR001061,2025-05-06,311.31,approved
PO000070,CH000503,USR003308,2025-05-06,1273.22,approved
PO000082,CH000596,USR003865,2025-05-06,137.53,rejected
PO000058,CH000453,USR002989,2025-05-09,1217.62,under_review
PO000087,CH000675,USR004487,2025-05-09,631.31,approved
PO000054,CH000397,USR002582,2025-05-11,3999.06,approved
PO000064,CH000483,USR003179,2025-05-11,459.11,under_review
PO000073,CH000518,USR003435,2025-05-14,1247.98,approved
PO000016,CH000136,USR000848,2025-05-15,1169.03,approved
PO000060,CH000458,USR003039,2025-05-15,107.71,approved
PO000088,CH000683,USR004513,2025-05-17,444.2,approved
PO000067,CH000495,USR003241,2025-05-19,2960.52,approved
PO000077,CH000552,USR003645,2025-05-21,902.86,approved
PO000084,CH000634,USR004130,2025-05-21,535.29,approved
PO000066,CH000493,USR003236,2025-05-22,569.78,approved
PO000063,CH000482,USR003175,2025-05-23,2477.49,approved
PO000071,CH000507,USR003343,2025-05-24,2621.86,approved
PO000069,CH000499,USR003292,2025-05-25,448.2,approved
PO000080,CH000558,USR003700,2025-05-25,1932.86,approved
PO000014,CH000116,USR000763,2025-05-26,646.08,approved
PO000072,CH000517,USR003432,2025-05-26,251.0,approved
PO000083,CH000624,USR003995,2025-05-26,719.08,under_review
PO000061,CH000458,USR003039,2025-05-27,88.74,approved
PO000116,CH000815,USR005565,2025-05-29,577.76,approved
PO000040,CH000275,USR001629,2025-06-01,1149.45,approved
PO000076,CH000544,USR003596,2025-06-02,2499.16,approved
PO000093,CH000709,USR004665,2025-06-02,932.24,under_review
PO000098,CH000722,USR004758,2025-06-02,485.22,approved
PO000099,CH000726,USR004787,2025-06-02,1317.49,approved
PO000100,CH000728,USR004820,2025-06-02,1152.32,approved
PO000111,CH000796,USR005430,2025-06-03,1483.0,approved
PO000059,CH000453,USR002989,2025-06-07,1199.87,under_review
PO000102,CH000735,USR004902,2025-06-08,1098.97,rejected
PO000092,CH000699,USR004586,2025-06-09,106.67,approved
PO000095,CH000720,USR004742,2025-06-09,1827.07,approved
PO000135,CH000918,USR006281,2025-06-09,772.25,approved
PO000078,CH000554,USR003662,2025-06-10,4115.74,under_review
PO000106,CH000771,USR005144,2025-06-11,108.23,approved
PO000074,CH000538,USR003568,2025-06-12,2736.78,approved
PO000081,CH000558,USR003700,2025-06-14,1690.14,approved
PO000107,CH000781,USR005244,2025-06-14,642.84,approved
PO000110,CH000795,USR005428,2025-06-16,1037.09,approved
PO000079,CH000554,USR003662,2025-06-18,3372.02,approved
PO000094,CH000715,USR004717,2025-06-18,1163.85,under_review
PO000122,CH000868,USR005899,2025-06-19,649.02,approved
PO000085,CH000663,USR004360,2025-06-20,74.05,under_review
PO000108,CH000794,USR005421,2025-06-23,1609.42,approved
PO000124,CH000870,USR005908,2025-06-23,1120.07,approved
PO000126,CH000894,USR006082,2025-06-24,1348.74,approved
PO000103,CH000754,USR005003,2025-06-25,2658.42,approved
PO000104,CH000759,USR005043,2025-06-25,3978.52,rejected
PO000120,CH000837,USR005683,2025-06-25,2615.11,approved
PO000115,CH000814,USR005560,2025-06-26,622.47,rejected
PO000117,CH000821,USR005606,2025-06-27,1158.59,approved
PO000127,CH000894,USR006082,2025-06-27,1377.38,approved
PO000151,CH001003,USR006769,2025-06-28,878.63,approved
PO000090,CH000690,USR004545,2025-06-29,2860.2,under_review
PO000128,CH000898,USR006117,2025-06-29,1326.66,approved
PO000136,CH000941,USR006419,2025-06-30,1050.57,approved
PO000096,CH000720,USR004742,2025-07-01,2231.46,approved
PO000112,CH000802,USR005460,2025-07-01,1915.02,approved
PO000118,CH000827,USR005642,2025-07-02,1560.87,approved
PO000119,CH000836,USR005676,2025-07-03,236.86,approved
PO000134,CH000910,USR006214,2025-07-03,4731.24,rejected
PO000130,CH000908,USR006189,2025-07-04,1836.56,approved
PO000140,CH000947,USR006467,2025-07-05,2230.42,approved
PO000125,CH000876,USR005936,2025-07-06,1162.44,approved
PO000089,CH000685,USR004518,2025-07-07,4247.27,approved
PO000101,CH000728,USR004820,2025-07-07,2361.27,under_review
PO000141,CH000948,USR006469,2025-07-09,2291.91,approved
PO000121,CH000850,USR005765,2025-07-10,1023.34,approved
PO000113,CH000809,USR005537,2025-07-12,4568.5,approved
PO000129,CH000899,USR006121,2025-07-12,1904.65,approved
PO000152,CH001006,USR006794,2025-07-12,797.73,approved
PO000147,CH000997,USR006722,2025-07-13,2850.35,approved
PO000138,CH000943,USR006447,2025-07-14,3451.22,approved
PO000097,CH000720,USR004742,2025-07-15,2507.31,approved
PO000164,CH001103,USR007536,2025-07-15,730.64,under_review
PO000159,CH001086,USR007399,2025-07-16,127.58,under_review
PO000086,CH000663,USR004360,2025-07-18,67.55,approved
PO000160,CH001092,USR007446,2025-07-18,794.84,approved
PO000131,CH000908,USR006189,2025-07-19,2135.63,approved
PO000133,CH000909,USR006202,2025-07-19,2703.27,approved
PO000155,CH001040,USR007030,2025-07-19,1035.84,approved
PO000154,CH001022,USR006941,2025-07-21,1357.3,approved
PO000165,CH001103,USR007536,2025-07-21,769.27,under_review
PO000137,CH000941,USR006419,2025-07-22,1298.84,under_review
PO000109,CH000794,USR005421,2025-07-23,1561.49,approved
PO000123,CH000868,USR005899,2025-07-23,737.31,approved
PO000132,CH000908,USR006189,2025-07-23,1914.22,under_review
PO000143,CH000956,USR006502,2025-07-23,1878.01,approved
PO000114,CH000813,USR005558,2025-07-24,1029.38,approved
PO000145,CH000969,USR006558,2025-07-25,2029.47,approved
PO000166,CH001113,USR007581,2025-07-27,2030.06,under_review
PO000153,CH001012,USR006862,2025-07-28,686.28,approved
PO000161,CH001093,USR007450,2025-07-28,1188.88,approved
PO000105,CH000759,USR005043,2025-07-29,2993.35,under_review
PO000170,CH001156,USR008028,2025-07-29,1306.03,approved
PO000175,CH001170,USR008109,2025-07-30,939.26,approved
PO000142,CH000950,USR006472,2025-08-01,2205.69,approved
PO000149,CH001001,USR006764,2025-08-01,4851.96,approved
PO000187,CH001259,USR008756,2025-08-01,3464.8,approved
PO000091,CH000690,USR004545,2025-08-04,767.18,approved
PO000139,CH000943,USR006447,2025-08-04,2377.45,approved
PO000148,CH000997,USR006722,2025-08-06,1691.99,under_review
PO000150,CH001001,USR006764,2025-08-07,4253.98,approved
PO000169,CH001140,USR007916,2025-08-07,159.99,approved
PO000167,CH001123,USR007709,2025-08-08,2800.39,approved
PO000189,CH001271,USR008857,2025-08-08,724.87,approved
PO000144,CH000956,USR006502,2025-08-09,1562.51,approved
PO000146,CH000978,USR006619,2025-08-09,4697.58,approved
PO000177,CH001183,USR008199,2025-08-09,467.61,approved
PO000176,CH001170,USR008109,2025-08-12,825.0,approved
PO000179,CH001194,USR008263,2025-08-12,105.32,approved
PO000181,CH001201,USR008338,2025-08-14,1355.32,under_review
PO000191,CH001279,USR008897,2025-08-14,1559.97,approved
PO000171,CH001156,USR008028,2025-08-15,829.38,approved
PO000162,CH001096,USR007476,2025-08-16,6145.89,rejected
PO000184,CH001213,USR008398,2025-08-18,800.73,approved
PO000156,CH001080,USR007329,2025-08-19,855.43,approved
PO000192,CH001281,USR008901,2025-08-20,2903.48,rejected
PO000186,CH001240,USR008632,2025-08-22,1827.45,approved
PO000173,CH001157,USR008030,2025-08-26,2862.68,approved
PO000196,CH001333,USR009206,2025-08-26,570.42,approved
PO000168,CH001123,USR007709,2025-08-27,2475.7,rejected
PO000178,CH001183,USR008199,2025-08-30,295.72,approved
PO000188,CH001267,USR008794,2025-08-30,458.36,approved
PO000157,CH001080,USR007329,2025-08-31,1181.34,approved
PO000200,CH001355,USR009316,2025-09-04,605.83,approved
PO000204,CH001366,USR009405,2025-09-07,429.5,approved
PO000172,CH001156,USR008028,2025-09-08,1090.06,approved
PO000198,CH001339,USR009246,2025-09-08,2038.38,approved
PO000182,CH001201,USR008338,2025-09-09,1467.69,approved
PO000193,CH001283,USR008903,2025-09-09,717.93,approved
PO000185,CH001232,USR008525,2025-09-11,2506.84,approved
PO000243,CH001616,USR011119,2025-09-13,693.72,approved
PO000180,CH001194,USR008263,2025-09-14,119.57,rejected
PO000194,CH001285,USR008912,2025-09-14,2745.94,approved
PO000199,CH001354,USR009314,2025-09-14,3195.65,approved
PO000219,CH001490,USR010191,2025-09-14,484.15,approved
PO000210,CH001436,USR009853,2025-09-16,692.49,approved
PO000158,CH001083,USR007364,2025-09-17,814.73,approved
PO000163,CH001096,USR007476,2025-09-17,3818.58,approved
PO000183,CH001201,USR008338,2025-09-19,1265.34,approved
PO000190,CH001275,USR008878,2025-09-21,118.81,approved
PO000201,CH001357,USR009331,2025-09-21,2777.09,approved
PO000206,CH001381,USR009487,2025-09-21,4155.47,approved
PO000226,CH001526,USR010503,2025-09-21,1773.45,approved
PO000209,CH001399,USR009613,2025-09-22,1898.25,approved
PO000205,CH001377,USR009458,2025-09-23,400.14,approved
PO000218,CH001471,USR010058,2025-09-24,909.31,approved
PO000239,CH001588,USR010874,2025-09-24,2203.2,approved
PO000240,CH001588,USR010874,2025-09-25,2389.85,approved
