user_id,registration_date,country,acquisition_channel,device_type,platform_language,age_bucket,prior_trading_experience
USR000001,2025-01-01,United States,organic,mobile,English,18-24,none
USR000002,2025-01-01,Brazil,affiliates,desktop,Portuguese,18-24,intermediate
USR000003,2025-01-01,Germany,community,mobile,German,35-44,none
USR000004,2025-01-01,Germany,affiliates,mobile,German,18-24,intermediate
USR000005,2025-01-01,Germany,paid_social,mobile,German,25-34,beginner
USR000006,2025-01-01,United Kingdom,organic,mobile,English,45-54,advanced
USR000007,2025-01-01,France,paid_social,desktop,French,18-24,beginner
USR000008,2025-01-01,Brazil,affiliates,desktop,Portuguese,35-44,intermediate
USR000009,2025-01-01,India,affiliates,mobile,Hindi,35-44,beginner
USR000010,2025-01-01,United Kingdom,direct,mobile,English,25-34,intermediate
USR000011,2025-01-01,Mexico,direct,mobile,Spanish,35-44,none
USR000012,2025-01-01,India,paid_social,mobile,Hindi,18-24,none
USR000013,2025-01-01,Nigeria,direct,desktop,Arabic,25-34,intermediate
USR000014,2025-01-01,United Kingdom,influencers,desktop,English,55+,beginner
USR000015,2025-01-01,Turkey,direct,mobile,English,45-54,beginner
USR000016,2025-01-01,Nigeria,organic,mobile,Arabic,18-24,none
USR000017,2025-01-01,Mexico,community,desktop,Spanish,25-34,none
USR000018,2025-01-01,India,paid_social,mobile,English,25-34,beginner
USR000019,2025-01-01,Poland,organic,mobile,Polish,25-34,beginner
USR000020,2025-01-01,Brazil,paid_social,mobile,Portuguese,25-34,none
USR000021,2025-01-01,United States,organic,desktop,English,25-34,beginner
USR000022,2025-01-01,Mexico,affiliates,mobile,Spanish,25-34,beginner
USR000023,2025-01-01,United States,direct,desktop,English,18-24,intermediate
USR000024,2025-01-01,South Africa,organic,desktop,English,25-34,advanced
USR000025,2025-01-01,Spain,community,desktop,Spanish,45-54,advanced
USR000026,2025-01-01,India,paid_social,mobile,Hindi,18-24,beginner
USR000027,2025-01-01,Germany,community,mobile,German,18-24,intermediate
USR000028,2025-01-01,Brazil,paid_social,mobile,Portuguese,25-34,intermediate
USR000029,2025-01-01,United Kingdom,community,mobile,English,25-34,none
USR000030,2025-01-01,Poland,community,desktop,English,25-34,beginner
USR000031,2025-01-01,United States,affiliates,mobile,English,18-24,advanced
USR000032,2025-01-01,Brazil,organic,desktop,Portuguese,35-44,none
USR000033,2025-01-01,United States,direct,desktop,English,55+,intermediate
USR000034,2025-01-01,Brazil,organic,desktop,Portuguese,55+,beginner
USR000035,2025-01-01,United Kingdom,influencers,mobile,English,25-34,intermediate
USR000036,2025-01-01,Brazil,paid_social,tablet,Portuguese,25-34,none
USR000037,2025-01-01,India,paid_social,mobile,English,18-24,beginner
USR000038,2025-01-01,United Kingdom,organic,tablet,English,55+,beginner
USR000039,2025-01-01,Poland,affiliates,desktop,Polish,45-54,intermediate
USR000040,2025-01-01,Germany,organic,tablet,German,18-24,none
USR000041,2025-01-01,Poland,paid_social,mobile,Polish,25-34,intermediate
USR000042,2025-01-01,United States,paid_social,mobile,English,18-24,none
USR000043,2025-01-01,Pakistan,affiliates,mobile,Urdu,35-44,beginner
USR000044,2025-01-01,United Kingdom,affiliates,mobile,English,25-34,advanced
USR000045,2025-01-01,India,direct,desktop,Hindi,35-44,intermediate
USR000046,2025-01-01,Spain,paid_social,desktop,Spanish,18-24,beginner
USR000047,2025-01-01,United Kingdom,paid_social,tablet,English,18-24,intermediate
USR000048,2025-01-01,United States,paid_social,desktop,English,18-24,beginner
USR000049,2025-01-01,Brazil,influencers,mobile,Portuguese,35-44,beginner
USR000050,2025-01-01,Mexico,paid_social,desktop,Spanish,35-44,none
USR000051,2025-01-01,Canada,paid_social,mobile,French,25-34,intermediate
USR000052,2025-01-01,United Arab Emirates,influencers,mobile,English,18-24,none
USR000053,2025-01-01,Poland,community,mobile,English,55+,advanced
USR000054,2025-01-01,United States,influencers,mobile,English,25-34,intermediate
USR000055,2025-01-01,United Arab Emirates,direct,mobile,Arabic,35-44,intermediate
USR000056,2025-01-02,Brazil,paid_social,tablet,Portuguese,35-44,beginner
USR000057,2025-01-02,United States,paid_social,mobile,English,25-34,intermediate
USR000058,2025-01-02,Canada,direct,desktop,English,25-34,advanced
USR000059,2025-01-02,United States,organic,desktop,English,18-24,advanced
USR000060,2025-01-02,Brazil,direct,desktop,Portuguese,35-44,advanced
USR000061,2025-01-02,United Kingdom,affiliates,mobile,English,25-34,none
USR000062,2025-01-02,France,organic,desktop,French,35-44,intermediate
USR000063,2025-01-02,India,community,desktop,English,35-44,beginner
USR000064,2025-01-02,India,paid_social,mobile,English,35-44,beginner
USR000065,2025-01-02,Nigeria,influencers,mobile,English,18-24,intermediate
USR000066,2025-01-02,South Africa,direct,desktop,French,35-44,beginner
USR000067,2025-01-02,Brazil,organic,desktop,Portuguese,18-24,none
USR000068,2025-01-02,United Kingdom,affiliates,mobile,English,18-24,intermediate
USR000069,2025-01-02,Mexico,paid_social,mobile,Spanish,18-24,intermediate
USR000070,2025-01-02,Spain,community,desktop,Spanish,35-44,intermediate
USR000071,2025-01-02,United Arab Emirates,paid_social,mobile,Arabic,18-24,beginner
USR000072,2025-01-02,Mexico,affiliates,mobile,Spanish,18-24,advanced
USR000073,2025-01-02,United States,affiliates,mobile,Spanish,18-24,beginner
USR000074,2025-01-02,Netherlands,organic,mobile,Dutch,25-34,advanced
USR000075,2025-01-02,Philippines,affiliates,tablet,English,18-24,none
USR000076,2025-01-02,United States,direct,desktop,English,35-44,advanced
USR000077,2025-01-02,United Kingdom,paid_social,mobile,English,35-44,beginner
USR000078,2025-01-02,United States,paid_social,desktop,Spanish,25-34,intermediate
USR000079,2025-01-02,Poland,affiliates,mobile,Polish,18-24,none
USR000080,2025-01-02,Germany,paid_social,mobile,German,25-34,none
USR000081,2025-01-02,Mexico,direct,tablet,English,25-34,beginner
USR000082,2025-01-02,Pakistan,community,desktop,Urdu,25-34,intermediate
USR000083,2025-01-02,United Kingdom,community,desktop,English,25-34,beginner
USR000084,2025-01-02,United States,affiliates,mobile,English,25-34,intermediate
USR000085,2025-01-02,Pakistan,paid_social,mobile,English,25-34,beginner
USR000086,2025-01-02,Mexico,organic,desktop,Spanish,25-34,intermediate
USR000087,2025-01-02,Turkey,direct,desktop,Turkish,25-34,intermediate
USR000088,2025-01-02,United Kingdom,community,desktop,English,45-54,intermediate
USR000089,2025-01-02,Turkey,affiliates,mobile,Turkish,18-24,beginner
USR000090,2025-01-02,United Arab Emirates,affiliates,desktop,Arabic,25-34,intermediate
USR000091,2025-01-02,Brazil,affiliates,tablet,Portuguese,45-54,beginner
USR000092,2025-01-02,Philippines,paid_social,mobile,Tagalog,18-24,none
USR000093,2025-01-02,France,affiliates,mobile,French,18-24,beginner
USR000094,2025-01-02,India,direct,tablet,English,25-34,intermediate
USR000095,2025-01-02,Mexico,influencers,desktop,English,25-34,beginner
USR000096,2025-01-02,Mexico,influencers,desktop,English,18-24,none
USR000097,2025-01-02,United States,direct,desktop,English,45-54,intermediate
USR000098,2025-01-02,Germany,affiliates,mobile,German,25-34,beginner
USR000099,2025-01-02,Germany,influencers,mobile,German,18-24,none
USR000100,2025-01-02,United Arab Emirates,community,desktop,Arabic,35-44,beginner
